seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,viable_CRPs,server_accuracy,attacker_accuracy
0,64,1,1000000,200,100,0.95,LR,LR,400,0.0,0.87
0,64,1,1000000,200,100,0.95,LR,LR,600,0.0,0.19
0,64,1,1000000,200,100,0.95,LR,LR,800,0.0,0.845
0,64,1,1000000,200,100,0.95,LR,LR,1000,0.0,0.885
0,64,1,1000000,200,100,0.95,LR,LR,1200,0.0,0.315
0,64,1,1000000,200,100,0.95,LR,LR,1400,0.0,0.455
0,64,1,1000000,200,100,0.95,LR,LR,1600,0.005,0.96
1,64,1,1000000,200,100,0.95,LR,LR,400,0.02,0.79
1,64,1,1000000,200,100,0.95,LR,LR,600,0.11,0.815
1,64,1,1000000,200,100,0.95,LR,LR,800,0.0,0.46
1,64,1,1000000,200,100,0.95,LR,LR,1000,0.085,0.56
1,64,1,1000000,200,100,0.95,LR,LR,1200,0.0,0.8
1,64,1,1000000,200,100,0.95,LR,LR,1400,0.0,0.515
1,64,1,1000000,200,100,0.95,LR,LR,1600,0.15,0.695
1,64,1,1000000,200,100,0.95,LR,LR,1800,0.1,0.63
1,64,1,1000000,200,100,0.95,LR,LR,2000,0.0,0.73
1,64,1,1000000,200,100,0.95,LR,LR,2200,0.05,0.605
1,64,1,1000000,200,100,0.95,LR,LR,2400,0.39,0.51
1,64,1,1000000,200,100,0.95,LR,LR,2600,0.05,0.35
1,64,1,1000000,200,100,0.95,LR,LR,2800,0.005,0.62
1,64,1,1000000,200,100,0.95,LR,LR,3000,0.01,0.335
1,64,1,1000000,200,100,0.95,LR,LR,3200,0.02,0.79
1,64,1,1000000,200,100,0.95,LR,LR,3400,0.07,0.3
1,64,1,1000000,200,100,0.95,LR,LR,3600,0.1,0.695
1,64,1,1000000,200,100,0.95,LR,LR,3800,0.125,0.265
1,64,1,1000000,200,100,0.95,LR,LR,4000,0.035,0.325
1,64,1,1000000,200,100,0.95,LR,LR,4200,0.0,1.0
2,64,1,1000000,200,100,0.95,LR,LR,400,0.0,0.435
2,64,1,1000000,200,100,0.95,LR,LR,600,0.02,0.155
2,64,1,1000000,200,100,0.95,LR,LR,800,0.0,0.61
2,64,1,1000000,200,100,0.95,LR,LR,1000,0.0,0.255
2,64,1,1000000,200,100,0.95,LR,LR,1200,0.01,0.755
2,64,1,1000000,200,100,0.95,LR,LR,1400,0.01,0.545
2,64,1,1000000,200,100,0.95,LR,LR,1600,0.06,0.405
2,64,1,1000000,200,100,0.95,LR,LR,1800,0.075,0.545
2,64,1,1000000,200,100,0.95,LR,LR,2000,0.105,0.69
2,64,1,1000000,200,100,0.95,LR,LR,2200,0.01,0.33
2,64,1,1000000,200,100,0.95,LR,LR,2400,0.0,0.55
2,64,1,1000000,200,100,0.95,LR,LR,2600,0.015,0.34
2,64,1,1000000,200,100,0.95,LR,LR,2800,0.01,0.195
2,64,1,1000000,200,100,0.95,LR,LR,3000,0.0,0.8
2,64,1,1000000,200,100,0.95,LR,LR,3200,0.025,0.615
2,64,1,1000000,200,100,0.95,LR,LR,3400,0.01,0.59
2,64,1,1000000,200,100,0.95,LR,LR,3600,0.0,0.0
2,64,1,1000000,200,100,0.95,LR,LR,3800,0.015,0.76
2,64,1,1000000,200,100,0.95,LR,LR,4000,0.09,0.705
2,64,1,1000000,200,100,0.95,LR,LR,4200,0.0,0.48
2,64,1,1000000,200,100,0.95,LR,LR,4400,0.055,0.525
2,64,1,1000000,200,100,0.95,LR,LR,4600,0.005,0.85
2,64,1,1000000,200,100,0.95,LR,LR,4800,0.01,0.64
2,64,1,1000000,200,100,0.95,LR,LR,5000,0.01,0.18
2,64,1,1000000,200,100,0.95,LR,LR,5200,0.02,0.215
2,64,1,1000000,200,100,0.95,LR,LR,5400,0.0,0.965
3,64,1,1000000,200,100,0.95,LR,LR,400,0.02,0.3
3,64,1,1000000,200,100,0.95,LR,LR,600,0.0,0.41
3,64,1,1000000,200,100,0.95,LR,LR,800,0.025,0.025
3,64,1,1000000,200,100,0.95,LR,LR,1000,0.0,0.86
3,64,1,1000000,200,100,0.95,LR,LR,1200,0.005,0.21
3,64,1,1000000,200,100,0.95,LR,LR,1400,0.0,0.88
3,64,1,1000000,200,100,0.95,LR,LR,1600,0.0,0.065
3,64,1,1000000,200,100,0.95,LR,LR,1800,0.0,0.545
3,64,1,1000000,200,100,0.95,LR,LR,2000,0.0,0.0
3,64,1,1000000,200,100,0.95,LR,LR,2200,0.0,0.975
4,64,1,1000000,200,100,0.95,LR,LR,400,0.015,0.86
4,64,1,1000000,200,100,0.95,LR,LR,600,0.005,0.815
4,64,1,1000000,200,100,0.95,LR,LR,800,0.0,0.17
4,64,1,1000000,200,100,0.95,LR,LR,1000,0.0,0.255
4,64,1,1000000,200,100,0.95,LR,LR,1200,0.0,0.94
4,64,1,1000000,200,100,0.95,LR,LR,1400,0.0,0.37
4,64,1,1000000,200,100,0.95,LR,LR,1600,0.0,0.645
4,64,1,1000000,200,100,0.95,LR,LR,1800,0.0,0.37
