seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,min_auths,viable_CRPs,server_accuracy,attacker_accuracy
0,64,1,1000000,200,100,0.95,LR,LR,5,400,0.0,0.87
0,64,1,1000000,200,100,0.95,LR,LR,5,600,0.0,0.19
0,64,1,1000000,200,100,0.95,LR,LR,5,800,0.0,0.845
0,64,1,1000000,200,100,0.95,LR,LR,5,1000,0.0,0.885
0,64,1,1000000,200,100,0.95,LR,LR,5,1200,0.0,0.315
0,64,1,1000000,200,100,0.95,LR,LR,5,1400,0.0,0.455
0,64,1,1000000,200,100,0.95,LR,LR,5,1600,0.005,0.96
0,64,1,1000000,200,100,0.95,LR,LR,5,1800,0.03,0.545
0,64,1,1000000,200,100,0.95,LR,LR,5,2000,0.03,0.835
0,64,1,1000000,200,100,0.95,LR,LR,5,2200,0.035,0.165
0,64,1,1000000,200,100,0.95,LR,LR,5,2400,0.0,0.73
0,64,1,1000000,200,100,0.95,LR,LR,5,2600,0.055,0.63
0,64,1,1000000,200,100,0.95,LR,LR,5,2800,0.02,0.155
0,64,1,1000000,200,100,0.95,LR,LR,5,3000,0.0,0.725
0,64,1,1000000,200,100,0.95,LR,LR,5,3200,0.0,0.485
0,64,1,1000000,200,100,0.95,LR,LR,5,3400,0.0,0.32
0,64,1,1000000,200,100,0.95,LR,LR,5,3600,0.02,0.32
0,64,1,1000000,200,100,0.95,LR,LR,5,3800,0.015,0.14
0,64,1,1000000,200,100,0.95,LR,LR,5,4000,0.025,0.465
0,64,1,1000000,200,100,0.95,LR,LR,5,4200,0.0,0.24
0,64,1,1000000,200,100,0.95,LR,LR,5,4400,0.0,0.455
0,64,1,1000000,200,100,0.95,LR,LR,5,4600,0.0,0.685
0,64,1,1000000,200,100,0.95,LR,LR,5,4800,0.01,0.81
0,64,1,1000000,200,100,0.95,LR,LR,5,5000,0.0,0.42
0,64,1,1000000,200,100,0.95,LR,LR,5,5200,0.0,0.565
0,64,1,1000000,200,100,0.95,LR,LR,5,5400,0.0,0.47
0,64,1,1000000,200,100,0.95,LR,LR,5,5600,0.01,0.26
0,64,1,1000000,200,100,0.95,LR,LR,5,5800,0.0,0.29
0,64,1,1000000,200,100,0.95,LR,LR,5,6000,0.005,0.095
0,64,1,1000000,200,100,0.95,LR,LR,5,6200,0.0,0.69
0,64,1,1000000,200,100,0.95,LR,LR,5,6400,0.035,0.715
0,64,1,1000000,200,100,0.95,LR,LR,5,6600,0.25,0.335
0,64,1,1000000,200,100,0.95,LR,LR,5,6800,0.0,0.09
0,64,1,1000000,200,100,0.95,LR,LR,5,7000,0.0,0.595
0,64,1,1000000,200,100,0.95,LR,LR,5,7200,0.015,0.235
0,64,1,1000000,200,100,0.95,LR,LR,5,7400,0.02,0.65
0,64,1,1000000,200,100,0.95,LR,LR,5,7600,0.0,0.415
0,64,1,1000000,200,100,0.95,LR,LR,5,7800,0.105,0.335
0,64,1,1000000,200,100,0.95,LR,LR,5,8000,0.015,0.285
0,64,1,1000000,200,100,0.95,LR,LR,5,8200,0.0,0.735
0,64,1,1000000,200,100,0.95,LR,LR,5,8400,0.06,0.11
0,64,1,1000000,200,100,0.95,LR,LR,5,8600,0.065,0.695
0,64,1,1000000,200,100,0.95,LR,LR,5,8800,0.04,0.2
0,64,1,1000000,200,100,0.95,LR,LR,5,9000,0.0,1.0
0,64,1,1000000,200,100,0.95,LR,LR,5,9200,0.055,0.555
0,64,1,1000000,200,100,0.95,LR,LR,5,9400,0.22,0.355
0,64,1,1000000,200,100,0.95,LR,LR,5,9600,0.05,0.275
0,64,1,1000000,200,100,0.95,LR,LR,5,9800,0.0,0.965
0,64,1,1000000,200,100,0.95,LR,LR,5,10000,0.0,0.97
0,64,1,1000000,200,100,0.95,LR,LR,5,10200,0.0,0.99
0,64,1,1000000,200,100,0.95,LR,LR,5,10400,0.02,0.96
0,64,1,1000000,200,100,0.95,LR,LR,5,10600,0.0,0.93
0,64,1,1000000,200,100,0.95,LR,LR,5,10800,0.0,0.99
0,64,1,1000000,200,100,0.95,LR,LR,5,11000,0.0,0.795
0,64,1,1000000,200,100,0.95,LR,LR,5,11200,0.0,0.135
0,64,1,1000000,200,100,0.95,LR,LR,5,11400,0.0,0.325
0,64,1,1000000,200,100,0.95,LR,LR,5,11600,0.245,0.38
0,64,1,1000000,200,100,0.95,LR,LR,5,11800,0.0,0.23
0,64,1,1000000,200,100,0.95,LR,LR,5,12000,0.0,0.35
0,64,1,1000000,200,100,0.95,LR,LR,5,12200,0.075,0.545
0,64,1,1000000,200,100,0.95,LR,LR,5,12400,0.235,0.53
0,64,1,1000000,200,100,0.95,LR,LR,5,12600,0.085,0.23
0,64,1,1000000,200,100,0.95,LR,LR,5,12800,0.11,0.11
0,64,1,1000000,200,100,0.95,LR,LR,5,13000,0.19,0.93
0,64,1,1000000,200,100,0.95,LR,LR,5,13200,0.385,0.42
0,64,1,1000000,200,100,0.95,LR,LR,5,13400,0.415,0.415
0,64,1,1000000,200,100,0.95,LR,LR,5,13600,0.31,0.32
0,64,1,1000000,200,100,0.95,LR,LR,5,13800,0.2,0.325
0,64,1,1000000,200,100,0.95,LR,LR,5,14000,0.13,0.925
0,64,1,1000000,200,100,0.95,LR,LR,5,14200,0.06,0.315
0,64,1,1000000,200,100,0.95,LR,LR,5,14400,0.0,0.22
0,64,1,1000000,200,100,0.95,LR,LR,5,14600,0.01,0.64
