seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,viable_CRPs,server_accuracy,attacker_accuracy
0,64,1,1000000,200,100,0.95,LR,MLP,400,0.0,0.74
0,64,1,1000000,200,100,0.95,LR,MLP,600,0.0,0.0
0,64,1,1000000,200,100,0.95,LR,MLP,800,0.0,0.32
0,64,1,1000000,200,100,0.95,LR,MLP,1000,0.0,0.745
0,64,1,1000000,200,100,0.95,LR,MLP,1200,0.0,0.1
0,64,1,1000000,200,100,0.95,LR,MLP,1400,0.0,0.42
0,64,1,1000000,200,100,0.95,LR,MLP,1600,0.005,0.97
1,64,1,1000000,200,100,0.95,LR,MLP,400,0.02,0.88
1,64,1,1000000,200,100,0.95,LR,MLP,600,0.11,0.27
1,64,1,1000000,200,100,0.95,LR,MLP,800,0.0,0.405
1,64,1,1000000,200,100,0.95,LR,MLP,1000,0.085,0.71
1,64,1,1000000,200,100,0.95,LR,MLP,1200,0.0,0.96
2,64,1,1000000,200,100,0.95,LR,MLP,400,0.0,0.705
2,64,1,1000000,200,100,0.95,LR,MLP,600,0.02,0.18
2,64,1,1000000,200,100,0.95,LR,MLP,800,0.0,0.165
2,64,1,1000000,200,100,0.95,LR,MLP,1000,0.0,0.27
2,64,1,1000000,200,100,0.95,LR,MLP,1200,0.01,0.835
2,64,1,1000000,200,100,0.95,LR,MLP,1400,0.01,0.42
2,64,1,1000000,200,100,0.95,LR,MLP,1600,0.06,0.46
2,64,1,1000000,200,100,0.95,LR,MLP,1800,0.075,0.48
2,64,1,1000000,200,100,0.95,LR,MLP,2000,0.105,0.68
2,64,1,1000000,200,100,0.95,LR,MLP,2200,0.01,0.935
2,64,1,1000000,200,100,0.95,LR,MLP,2400,0.0,1.0
3,64,1,1000000,200,100,0.95,LR,MLP,400,0.02,0.02
3,64,1,1000000,200,100,0.95,LR,MLP,600,0.0,0.04
3,64,1,1000000,200,100,0.95,LR,MLP,800,0.025,0.455
3,64,1,1000000,200,100,0.95,LR,MLP,1000,0.0,0.725
3,64,1,1000000,200,100,0.95,LR,MLP,1200,0.005,0.37
