seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,min_auths,viable_CRPs,server_accuracy,attacker_accuracy
0,64,1,1000000,200,100,0.95,both,MLP,1,400,0.0,0.615
0,64,1,1000000,200,100,0.95,both,MLP,1,600,0.0,0.785
0,64,1,1000000,200,100,0.95,both,MLP,1,800,0.0,0.66
0,64,1,1000000,200,100,0.95,both,MLP,1,1000,0.005,0.575
0,64,1,1000000,200,100,0.95,both,MLP,1,1200,0.0,0.7
0,64,1,1000000,200,100,0.95,both,MLP,1,1400,0.0,0.155
0,64,1,1000000,200,100,0.95,both,MLP,1,1600,0.01,0.465
0,64,1,1000000,200,100,0.95,both,MLP,1,1800,0.13,0.46
0,64,1,1000000,200,100,0.95,both,MLP,1,2000,0.22,0.51
0,64,1,1000000,200,100,0.95,both,MLP,1,2200,0.205,0.68
0,64,1,1000000,200,100,0.95,both,MLP,1,2400,0.025,0.485
0,64,1,1000000,200,100,0.95,both,MLP,1,2600,0.32,0.6
0,64,1,1000000,200,100,0.95,both,MLP,1,2800,0.47,0.87
0,64,1,1000000,200,100,0.95,both,MLP,1,3000,0.62,0.535
0,64,1,1000000,200,100,0.95,both,MLP,1,3200,0.435,0.53
0,64,1,1000000,200,100,0.95,both,MLP,1,3400,0.295,0.365
0,64,1,1000000,200,100,0.95,both,MLP,1,3600,0.055,0.81
0,64,1,1000000,200,100,0.95,both,MLP,1,3800,0.645,0.905
0,64,1,1000000,200,100,0.95,both,MLP,1,4000,0.5,0.71
0,64,1,1000000,200,100,0.95,both,MLP,1,4200,0.565,0.84
0,64,1,1000000,200,100,0.95,both,MLP,1,4400,0.615,0.81
0,64,1,1000000,200,100,0.95,both,MLP,1,4600,0.49,0.91
0,64,1,1000000,200,100,0.95,both,MLP,1,4800,0.81,0.92
0,64,1,1000000,200,100,0.95,both,MLP,1,5000,0.695,0.8
0,64,1,1000000,200,100,0.95,both,MLP,1,5200,0.695,0.795
0,64,1,1000000,200,100,0.95,both,MLP,1,5400,0.775,0.93
0,64,1,1000000,200,100,0.95,both,MLP,1,5600,0.845,0.92
0,64,1,1000000,200,100,0.95,both,MLP,1,5800,0.845,0.925
0,64,1,1000000,200,100,0.95,both,MLP,1,6000,0.905,0.935
0,64,1,1000000,200,100,0.95,both,MLP,1,6200,0.895,0.98
1,64,1,1000000,200,100,0.95,both,MLP,1,400,0.0,0.315
1,64,1,1000000,200,100,0.95,both,MLP,1,600,0.0,0.385
1,64,1,1000000,200,100,0.95,both,MLP,1,800,0.0,0.36
1,64,1,1000000,200,100,0.95,both,MLP,1,1000,0.0,0.625
1,64,1,1000000,200,100,0.95,both,MLP,1,1200,0.0,0.525
1,64,1,1000000,200,100,0.95,both,MLP,1,1400,0.005,0.39
1,64,1,1000000,200,100,0.95,both,MLP,1,1600,0.105,0.525
1,64,1,1000000,200,100,0.95,both,MLP,1,1800,0.0,0.375
1,64,1,1000000,200,100,0.95,both,MLP,1,2000,0.15,0.61
1,64,1,1000000,200,100,0.95,both,MLP,1,2200,0.09,0.48
1,64,1,1000000,200,100,0.95,both,MLP,1,2400,0.075,0.275
1,64,1,1000000,200,100,0.95,both,MLP,1,2600,0.29,0.465
1,64,1,1000000,200,100,0.95,both,MLP,1,2800,0.55,0.7
1,64,1,1000000,200,100,0.95,both,MLP,1,3000,0.505,0.65
1,64,1,1000000,200,100,0.95,both,MLP,1,3200,0.615,0.735
1,64,1,1000000,200,100,0.95,both,MLP,1,3400,0.465,0.555
1,64,1,1000000,200,100,0.95,both,MLP,1,3600,0.525,0.55
1,64,1,1000000,200,100,0.95,both,MLP,1,3800,0.68,0.73
1,64,1,1000000,200,100,0.95,both,MLP,1,4000,0.69,0.89
1,64,1,1000000,200,100,0.95,both,MLP,1,4200,0.595,0.95
2,64,1,1000000,200,100,0.95,both,MLP,1,400,0.0,0.73
2,64,1,1000000,200,100,0.95,both,MLP,1,600,0.0,0.445
2,64,1,1000000,200,100,0.95,both,MLP,1,800,0.0,0.445
2,64,1,1000000,200,100,0.95,both,MLP,1,1000,0.0,0.48
2,64,1,1000000,200,100,0.95,both,MLP,1,1200,0.0,0.26
2,64,1,1000000,200,100,0.95,both,MLP,1,1400,0.0,0.12
2,64,1,1000000,200,100,0.95,both,MLP,1,1600,0.085,0.365
2,64,1,1000000,200,100,0.95,both,MLP,1,1800,0.13,0.39
2,64,1,1000000,200,100,0.95,both,MLP,1,2000,0.19,0.43
2,64,1,1000000,200,100,0.95,both,MLP,1,2200,0.2,0.45
2,64,1,1000000,200,100,0.95,both,MLP,1,2400,0.175,0.475
2,64,1,1000000,200,100,0.95,both,MLP,1,2600,0.355,0.61
2,64,1,1000000,200,100,0.95,both,MLP,1,2800,0.52,0.675
2,64,1,1000000,200,100,0.95,both,MLP,1,3000,0.545,0.82
2,64,1,1000000,200,100,0.95,both,MLP,1,3200,0.71,0.825
2,64,1,1000000,200,100,0.95,both,MLP,1,3400,0.625,0.745
2,64,1,1000000,200,100,0.95,both,MLP,1,3600,0.785,0.86
2,64,1,1000000,200,100,0.95,both,MLP,1,3800,0.875,0.915
2,64,1,1000000,200,100,0.95,both,MLP,1,4000,0.455,0.94
2,64,1,1000000,200,100,0.95,both,MLP,1,4200,0.58,0.615
2,64,1,1000000,200,100,0.95,both,MLP,1,4400,0.71,0.86
2,64,1,1000000,200,100,0.95,both,MLP,1,4600,0.645,0.76
2,64,1,1000000,200,100,0.95,both,MLP,1,4800,0.755,0.805
2,64,1,1000000,200,100,0.95,both,MLP,1,5000,0.85,0.91
2,64,1,1000000,200,100,0.95,both,MLP,1,5200,0.905,0.935
2,64,1,1000000,200,100,0.95,both,MLP,1,5400,0.815,0.94
2,64,1,1000000,200,100,0.95,both,MLP,1,5600,0.96,0.98
3,64,1,1000000,200,100,0.95,both,MLP,1,400,0.0,0.35
3,64,1,1000000,200,100,0.95,both,MLP,1,600,0.0,0.465
3,64,1,1000000,200,100,0.95,both,MLP,1,800,0.0,0.515
3,64,1,1000000,200,100,0.95,both,MLP,1,1000,0.0,0.3
3,64,1,1000000,200,100,0.95,both,MLP,1,1200,0.02,0.285
3,64,1,1000000,200,100,0.95,both,MLP,1,1400,0.005,0.08
3,64,1,1000000,200,100,0.95,both,MLP,1,1600,0.285,0.505
3,64,1,1000000,200,100,0.95,both,MLP,1,1800,0.375,0.55
3,64,1,1000000,200,100,0.95,both,MLP,1,2000,0.19,0.53
3,64,1,1000000,200,100,0.95,both,MLP,1,2200,0.555,0.675
3,64,1,1000000,200,100,0.95,both,MLP,1,2400,0.32,0.455
3,64,1,1000000,200,100,0.95,both,MLP,1,2600,0.58,0.66
3,64,1,1000000,200,100,0.95,both,MLP,1,2800,0.635,0.74
3,64,1,1000000,200,100,0.95,both,MLP,1,3000,0.75,0.825
3,64,1,1000000,200,100,0.95,both,MLP,1,3200,0.905,0.93
3,64,1,1000000,200,100,0.95,both,MLP,1,3400,0.635,0.78
3,64,1,1000000,200,100,0.95,both,MLP,1,3600,0.74,0.835
3,64,1,1000000,200,100,0.95,both,MLP,1,3800,0.83,0.89
3,64,1,1000000,200,100,0.95,both,MLP,1,4000,0.88,0.95
4,64,1,1000000,200,100,0.95,both,MLP,1,400,0.0,0.515
4,64,1,1000000,200,100,0.95,both,MLP,1,600,0.0,0.595
4,64,1,1000000,200,100,0.95,both,MLP,1,800,0.0,0.415
4,64,1,1000000,200,100,0.95,both,MLP,1,1000,0.0,0.265
