seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,min_auths,viable_CRPs,server_accuracy,attacker_accuracy
0,64,1,1000000,200,1,0.95,MLP,LR,1,400,0.58,0.8
0,64,1,1000000,200,1,0.95,MLP,LR,1,600,0.645,0.855
0,64,1,1000000,200,1,0.95,MLP,LR,1,800,0.395,0.83
0,64,1,1000000,200,1,0.95,MLP,LR,1,1000,0.78,0.86
0,64,1,1000000,200,1,0.95,MLP,LR,1,1200,0.75,0.855
0,64,1,1000000,200,1,0.95,MLP,LR,1,1400,0.86,0.92
0,64,1,1000000,200,1,0.95,MLP,LR,1,1600,0.425,0.83
0,64,1,1000000,200,1,0.95,MLP,LR,1,1800,0.9,0.9
0,64,1,1000000,200,1,0.95,MLP,LR,1,2000,0.745,0.885
0,64,1,1000000,200,1,0.95,MLP,LR,1,2200,0.895,0.88
0,64,1,1000000,200,1,0.95,MLP,LR,1,2400,0.99,0.98
1,64,1,1000000,200,1,0.95,MLP,LR,1,400,0.62,0.75
1,64,1,1000000,200,1,0.95,MLP,LR,1,600,0.715,0.7
1,64,1,1000000,200,1,0.95,MLP,LR,1,800,0.66,0.87
1,64,1,1000000,200,1,0.95,MLP,LR,1,1000,0.53,0.855
1,64,1,1000000,200,1,0.95,MLP,LR,1,1200,0.745,0.765
1,64,1,1000000,200,1,0.95,MLP,LR,1,1400,0.885,0.905
1,64,1,1000000,200,1,0.95,MLP,LR,1,1600,0.875,0.9
1,64,1,1000000,200,1,0.95,MLP,LR,1,1800,0.84,0.925
1,64,1,1000000,200,1,0.95,MLP,LR,1,2000,0.865,0.915
1,64,1,1000000,200,1,0.95,MLP,LR,1,2200,0.905,0.93
1,64,1,1000000,200,1,0.95,MLP,LR,1,2400,0.95,0.945
1,64,1,1000000,200,1,0.95,MLP,LR,1,2600,0.49,0.935
1,64,1,1000000,200,1,0.95,MLP,LR,1,2800,0.94,0.93
1,64,1,1000000,200,1,0.95,MLP,LR,1,3000,0.93,0.935
1,64,1,1000000,200,1,0.95,MLP,LR,1,3200,0.965,0.94
1,64,1,1000000,200,1,0.95,MLP,LR,1,3400,0.965,0.91
1,64,1,1000000,200,1,0.95,MLP,LR,1,3600,0.985,0.895
1,64,1,1000000,200,1,0.95,MLP,LR,1,3800,0.97,0.93
1,64,1,1000000,200,1,0.95,MLP,LR,1,4000,0.98,0.955
2,64,1,1000000,200,1,0.95,MLP,LR,1,400,0.74,0.6
2,64,1,1000000,200,1,0.95,MLP,LR,1,600,0.42,0.75
2,64,1,1000000,200,1,0.95,MLP,LR,1,800,0.565,0.775
2,64,1,1000000,200,1,0.95,MLP,LR,1,1000,0.575,0.8
2,64,1,1000000,200,1,0.95,MLP,LR,1,1200,0.73,0.85
2,64,1,1000000,200,1,0.95,MLP,LR,1,1400,0.61,0.87
2,64,1,1000000,200,1,0.95,MLP,LR,1,1600,0.885,0.865
2,64,1,1000000,200,1,0.95,MLP,LR,1,1800,0.445,0.85
2,64,1,1000000,200,1,0.95,MLP,LR,1,2000,0.9,0.86
2,64,1,1000000,200,1,0.95,MLP,LR,1,2200,0.92,0.865
2,64,1,1000000,200,1,0.95,MLP,LR,1,2400,0.94,0.935
2,64,1,1000000,200,1,0.95,MLP,LR,1,2600,0.945,0.915
2,64,1,1000000,200,1,0.95,MLP,LR,1,2800,0.94,0.9
2,64,1,1000000,200,1,0.95,MLP,LR,1,3000,0.975,0.915
2,64,1,1000000,200,1,0.95,MLP,LR,1,3200,0.58,0.93
2,64,1,1000000,200,1,0.95,MLP,LR,1,3400,0.98,0.915
2,64,1,1000000,200,1,0.95,MLP,LR,1,3600,0.965,0.945
2,64,1,1000000,200,1,0.95,MLP,LR,1,3800,0.99,0.91
2,64,1,1000000,200,1,0.95,MLP,LR,1,4000,0.965,0.905
2,64,1,1000000,200,1,0.95,MLP,LR,1,4200,0.985,0.89
